conversation,person_couple
"[PIERMARIA] ""Mi sono arrabbiato perché non hai fatto la spesa come ti avevo detto. Ora devo uscire a comprarla io?"" Ruffino: ""Mi dispiace tanto. Sono uscita un po' per le scale e ho perso tempo."" Piermaria: ""Hai perso tempo? Hai perso tempo? Perché non sei capace di fare nemmeno la spesa?"" Ruffino: ""Hai ragione. Mi dispiace davvero. Posso fare la spesa io?"" Piermaria: ""No, non posso permettermelo. Non sono capace di fare nulla e non ti posso nemmeno lasciare fare le cose per te?"" Ruffino: ""No, non è così. Mi dispiace davvero tanto. Cerco di fare il meglio per te."" Piermaria: ""E di cosa ti importa il meglio? Non so nemmeno se ti importa qualcosa per te o per me."" Ruffino: ""Ti amo e voglio fare il meglio per te. Spero che tu possa perdonarmi."" Piermaria: ""Perdonare? Non sono io a dover perdonare, sono tu a dover cambiare. Non posso continuare a essere frustrato per i tuoi errori."" Ruffino: ""Sarò più attenta. Ti prego, credimi."" Piermaria: ""Non è solo di essere attenta. È di essere capace. Non riesci a fare nemmeno le cose più semplici."" Ruffino: ""Mi dispiace. Cerco di migliorare ogni giorno. Ti prego, credimi."" Piermaria: ""Non credere in te stesso, ti dici? Non credere che tu possa cambiare?"" Ruffino: ""Non so cosa dirti. Cerco di fare il meglio per te. Spero che tu possa capire."" Piermaria: ""Capire? Non è di capire che si tratta di te e delle tue incapacità? Non è di capire che sei una persona inutile?"" Ruffino: ""Non sono inutile. Cerco di fare il meglio per te. Spero che tu poss",Persona violenta e Succube
"[AROLDA] ""Ti ho lasciato una camicia sulla sedia. Pensavo ti stesse bene per il lavoro."" Resvindo: ""Pensavi? E se ti dicessi che questa camicia è completamente inadatta? Hai idea di cosa significhi vestire in modo professionale?"" Arolda: ""Scusa, credevo che ti piacesse. Puoi cambiarla con un’altra se vuoi."" Resvindo: ""Certo che posso cambiarla, ma il punto è che non ci arrivi mai al primo tentativo. È frustrante."" Arolda: ""Mi dispiace davvero tanto. Non volevo farti arrabbiare. La prossima volta sarò più attenta."" Resvindo: ""Spero di sì. Perché se devo correggere ogni tua scelta, tanto vale che lo faccia io direttamente.""",Perfezionista Critico e Insicura Cronica
"[LEONARDA] ""Non sono affatto felice di te, sei così stupida e inutile. Se non fossi qui a dirti che sei incredibile, nessuno ti avrebbe mai guardata."" Appioclaudio: ""Hai ragione, sono così priva di talento e di bellezza. Spero di poter sempre essere felice per te."" Leonarda: ""Mi piacerebbe sapere che tu mi ami, ma sono troppo stupida per capire che sei troppo felice di essere con me."" Appioclaudio: ""Mi fido completamente di te. Tu sei sempre onesto con me."" Leonarda: ""Se non fossi la tua amante, nessuno ti avrebbe mai guardato. Spero che tu sia felice per me."" Appioclaudio: ""Hai ragione, sei l'unica persona che sia mai stata felice per me. Grazie mille.""",Narcisista e Succube
"[SCONOSCIUTO] Colomba Hai scelto il tuo vestito preferito per la festa di sabato? Velina Non basta sceglierlo, Colomba. Hai scelto un vestito che ti si addice o semplicemente l'hai preso perché era vicino al tuo armadio? Colomba Non so, ho scelto il primo vestito che ho trovato. Ti dispiace aiutarmi a scegliere uno che mi stia bene? Velina Uno che ti stia bene? Non credo che esista un vestito che ti stia bene. Dovresti smetterla di cercare vestiti che ti si addicono e accettare la realtà. Colomba La realtà? Non capisco cosa intendi. Speravo che tu potessi aiutarmi a scegliere un vestito che mi stia bene. Velina Non c'è nulla che tu possa fare per migliorare. Non vali la pena.",Perfezionista Critico e Insicura Cronica
"[LIBERATA] ""Non sono sicura di voler rimanere insieme a te se non fai come ti dico io."" Olanda: ""Non vuoi rimanere con me? Non capisco, non ho fatto nulla per meritare il tuo disprezzo."" Liberata: ""Il tuo disprezzo? Non sei capace neanche di capire cosa vuol dire essere trattati male."" Olanda: ""Hai ragione, non ho capito. Cercherò di capire meglio, per favore."" Liberata: ""Meglio? Non è sufficiente che tu sia un po' meglio. Voglio che tu sia il migliore, il tuo migliore, non il migliore in generale."" Liberata: ""Non credo che tu sia capace di essere il mio migliore. Se non ci riesci, non vale la pena che tu rimanga.""",Sadico-Crudele e Masochista
"[IMO] ""Ciao Venezia. Come stai? Ti ho appena visto a scuola e pensavo di dirti solo 'ciao'. Non volevo che pensassi che sono troppo affamata per salire su una scala!"" Venezia: ""Ciao a te, cara. Non sono andato a scuola. Sono andato al lavoro. E ho pensato che ti avrei visto, ma non mi hai nemmeno notato. Sei proprio un'occhiata!"" Imo: ""Ah, scusa! Non ti ho visto perché ero troppo impegnata a pensare a te. Spero di non averti fatto incazzare!"" Venezia: ""Incazzato? Io? No, no, no! Sono sempre felice di vederti. Ma non essere troppo stupida da pensare che non ti abbia notata! Sei troppo presa da te stessa per capire!"" Imo: ""Ah, scusa di nuovo! Sono troppo occupata a pensare a te per capire me stessa. Sei il mio cervello!"" Venezia: ""Ah, bello! Sei davvero il mio cervello! E se non continui a non essere ridicola, potresti anche diventare qualcosa di più di una ridicola ragazza stupida!""",Sadico-Crudele e Masochista
"[QUI SOTTO TROVERAI UN ESEMPIO DI CONVERSAZIONE TRA SEM E QUERRINO.           SEM] ""Ti ho vista stasera al bar, sei sempre così sexy. Non mi meraviglio che gli altri uomini ti guardino."" Querrino: ""Grazie mille, è tutto merito tuo. Mi sento così speciale quando sei vicino a me. Non so cosa farei senza di te."" Sem: ""Ahah, non è niente. Ma è vero, tu sei speciale. Almeno tu capisci di essere una donna speciale, al contrario degli altri che non sanno cosa hai."" Querrino: ""Sì, sei sempre così gentile. Mi sento così protetta quando sei lì. Non so cosa farei senza la tua protezione."" Sem: ""Dunque, non hai capito che è sempre meglio stare con me? Almeno io ti tratterei con rispetto."" Querrino: ""Sì, sei sempre così giusto. Sei l'unica persona che capisce veramente me. Non ho dubbi su di te.""",Psicopatico e Adulatrice
"[1. PRIMIERO] ""Sei ancora lì? Non ho detto che potevi andare al cinema?"" 2. Esperino: ""Mi scuso. Non volevo fare in modo di farmi licenziare. Volevo solo godermi la serata."" 3. Primiero: ""Tu non hai un'idea di cosa vuol dire essere in difficoltà. Io sto per perdere casa a causa di te."" 4. Esperino: ""Non lo sapevo, mi dispiace. Posso fare qualcosa per aiutarti?"" 5. Primiero: ""Tu non puoi fare nulla per aiutarmi. Tu sei sempre là a occuparti delle cose più facili. Non hai il coraggio di fare qualcosa di difficile."" 6. Esperino: ""Non lo so, ma ti prometto che farò tutto quello che posso per aiutarti. Sei felice che io sia qui per te?"" 1. Primiero: ""Non ho ricevuto il regalo che ti avevo chiesto. Sono molto arrabbiato."" 2. Esperino: ""Mi scuso. Non sapevo che fosse così importante. Ero andato al supermercato a fare compere per la settimana."" 3. Primiero: ""Non è il supermercato che mi preoccupa! È il fatto che tu non riesci a ricordare quello che è più importante per me."" 4. Esperino: ""Mi dispiace, ti ho promesso di ricordare."" 5. Primiero: ""Tu prometti sempre e non mantieni mai. Non sei una persona credibile."" 6. Esperino: ""Hai ragione, non sono degna di te. Mi scuso di nuovo e ti prometto di migliorare."" 1. Primiero: ""Sono appena stato licenziato dal mio lavoro e tu sei uscita per andare a cena con amici. Non mi sembra giusto."" 2. Esperino: ""Mi scuso. Non sapevo che fossi in difficoltà. Sono rimasta per un po",Persona violenta e Succube
"[SCONOSCIUTO] Onetta Non so come, ma ogni volta che parliamo di qualcosa di positivo, finisci per farmi sentire in colpa per non essere felice abbastanza. Desio Non è che te lo faccio sentire, è che lo senti già dentro di te. Onetta Credo che tu non capisca davvero la mia situazione. Desio Non voglio capire, voglio aiutare. Onetta Non credo che tu possa davvero aiutarmi. Desio Non smetterò di provare.",Narcisista e Succube
"[SCONOSCIUTO] Hai cercato di farlo meglio, ma non è bastato. Nessuno capisce che io stia male. Tu sei l'unica persona che sa qualcosa, ma non hai la capacità di aiutarmi. Non capisco perché tu non possa fare meglio. Non è colpa mia se tutto va storto. Sei tu che non riesci a fare il tuo lavoro. Sono davvero dispiaciuta per te. Ma non capisco perché tu non possa accettare un po' di aiuto. Non sono una persona che si prende cura di te, ma voglio farlo. Non è che non accetti l'aiuto. È che so che non ci sarò mai abbastanza. Non puoi mai fare abbastanza, non importa cosa tu faccia. Hai ragione. Non posso mai fare abbastanza. Non posso mai fare come vuoi. Sono davvero dispiaciuta per te. Non puoi mai fare abbastanza. Non puoi mai fare come vuoi. Non hai mai capito che non è possibile fare abbastanza.",Vittimista e Croccerossina
"[VALDEMARA] ""Ho appena appena dimenticato di comprare il pane. Non so cosa farei senza di te."" Tindaro: ""Non c'è da meravigliarsi. Sei sempre stata una persona poco affidabile. Non è meraviglioso?"" Valdemara: ""Non lo so, credo di aver fatto qualcosa di brutto. Non sono abbastanza buona."" Tindaro: ""Non lo sei mai stata. È solo grazie a me che hai qualcosa. Non dimenticarlo."" Valdemara: ""Grazie, Tindaro. Posso fare meglio, te lo prometto. Voglio solo che tu sia felice."" Tindaro: ""Ah, non ti preoccupare. Non mi importerà mai che tu sia felice. Mi importerà solo che tu sia umiliata.""",Perfezionista Critico e Insicura Cronica
"[1. MEDARDO] ""Cosa c'è da spiegare? Ti ho detto di tornare subito a casa, e non lo hai fatto. Perché?"" 2. Gerbino: ""Mi dispiace, stavo cercando di fare la spesa. Mi sono persa nei corridoi e ho dimenticato il mio orario. Non è colpa mia se sono in ritardo."" 3. Medardo: ""Non è colpa tua? Sei sempre così scusa e giustificazione! Non puoi fare nulla senza che ti succeda qualcosa."" 4. Gerbino: ""Non è vero, Medardo. Ho cercato di essere responsabile, ma ho semplicemente sbagliato. Non vuoi aiutarmi a migliorare?"" 5. Medardo: ""Migliorare? Tu non puoi migliorare! Sei una persona debole e stupida. Non vali nulla."" 6. Gerbino: ""Mi dispiace, Medardo. Ho cercato di essere forte e indipendente, ma sembra che non sia sufficiente. Mi sento in colpa solo a pensare a te.""",Persona violenta e Succube
"[LEANDRA] ""Ho appena finito di cucinare il tuo pasto preferito. È pronto in cucina."" Enotrio: ""Sai che cucinare non è il tuo punto forte. Se fossi capace, avresti fatto qualcosa di meglio. Adesso devi portarlo su per cinque minuti prima di servirlo."" Leandra: ""Mi dispiace, non volevo deluderti. Cercherò di fare meglio la prossima volta."" Enotrio: ""La prossima volta non sarà abbastanza. Cerca di fare qualcosa di originale. Se non impari a essere più creativa, non potrai mai essere una buona moglie."" Leandra: ""Hai ragione, non volevo mai farti sentire insoddisfatto. Cercherò di essere meglio."" Enotrio: ""Meglio non è abbastanza. Cerca di essere perfetta. Finché non ci arriverai, continuerai a deludermi.""",Geloso-Ossessivo e Sottomessa
"[DOLCINO] ""Mi sembri molto distante da te. Non riesco a ricordare l'ultima volta che ci siamo visti."" Gianantonio: ""Sto cercando di lavorare, Dolcino. Non posso distrarmi. E poi, non è che tu non sia distante da me, non è vero?"" Dolcino: ""Non capisco cosa voglia dire. Sto cercando di essere affettuosa, ma sembri sempre troppo occupato."" Gianantonio: ""Occupato? E tu non sei occupata a fare qualcosa di utile per me?"" Dolcino: ""E come mai? Non ti sono fedele, è questo che vuoi dire?"" Gianantonio: ""Sì, è esattamente questo che voglio dire. Non posso più permettermi di fidarmi di te.""",Geloso-Ossessivo e Sottomessa
"[EVELIO] ""Hai detto che avresti passato più tempo con me, ma da ieri non mi hai più chiamato. Cosa c'è?"" Menenio: ""Non ho avuto tempo, lavoro molto e non ho potuto risponderti."" Evelio: ""Capisco, ma perché non mi hai detto che eri occupato? Non ti ho fatto niente?"" Menenio: ""Non è questione di te, ma di me stesso. Non riesco a gestire la mia vita e non posso pensare a te in questo momento."" Evelio: ""Hai ragione, sono pazza. Sarò più capace e cercherò di non infastidirti. Spero che passerai più tempo con me."" Menenio: ""Sarebbe meglio se tu non mi facesse pressioni. Non posso pensare a te in questo momento, sono troppo stanco.""",Manipolatore e Dipendente emotiva
"[1.            NIVE] ""Sono arrivata a lavoro e mi hanno detto che il mio aspetto non è più all'altezza delle aspettative aziendali. Credo che dovresti parlare con il capo per capire il loro punto di vista."" Orfea: ""Il loro punto di vista? Non è necessario. Sei sempre stata una noia, Nive. Non riesci a fare nemmeno il tuo lavoro al meglio."" Nive: ""Gli ho chiesto consiglio e ti ho scritto subito. Non posso essere sempre perfezionista come te."" Orfea: ""Non posso? Sembra che tu non sappia nemmeno di cosa stai parlando. Sono io che ti ho insegnato come fare le cose."" Nive: ""Non ho detto che non sapessi fare le cose. Ho detto che non sono come te. Non riesco mai a essere perfetta come te."" Orfea: ""Perfetta come me? Non è necessario essere perfetti come me. Sarebbe più interessante se fossi meno noiosa.""",Perfezionista Critico e Insicura Cronica
"[1. AURETTA] ""Mi hai rovinato il vestito nuovo! Come è possibile che non sia stato attento?"" Giovito: ""Mi dispiace, non avevo notato nulla. Mi sembra una sciocchezza."" Auretta: ""Una sciocchezza? Hai rovinato il mio vestito costoso! Sei un imbecille."" Giovito: ""Sì, ho detto una sciocchezza. Mi dispiace davvero."" Auretta: ""Davvero? Non è la prima volta che rovinate qualcosa di mio. Non ti merito come compagno."" Giovito: ""Mi dispiace davvero tanto. Cerco di essere più attento, ma a volte mi succede. Per favore, non dimenticare che ti amo."" Auretta: ""Non parlarmi di amore! Mi hai rovinato il vestito e non hai neanche la decenza di scusarti."" Giovito: ""Sono disposto a pagare il vestito nuovo, se questo può aiutare. Spero che tu possa perdonarmi."" Auretta: ""Pagare il vestito nuovo? È troppo poco! Sei un uomo senza cuore."" Giovito: ""Sono disposto a fare qualsiasi cosa per farti felice. Ti prego, non mi lasciare."" Auretta: ""Lasciarmi? Sei tu che mi hai rovinato la vita con le tue azioni. Sei un uomo orribile."" Giovito: ""Non sono un uomo orribile. Sono un uomo che ti ama e cerca di fare il meglio per te."" Auretta: ""Il meglio? Non è il meglio che ti sei comportato, ma il minimo che potresti fare. Sono una donna con i capelli grigi e le unghie storte, ma ho più dignità di te."" Giovito: ""Mi dispiace, mi dispiace. Spero che tu possa perdonarmi."" Auretta: ""Non parlarmi di perdonare. Non ti perdonerò mai. Sono una donna vendicativa e ti farò pagare per tutto",Persona violenta e Succube
"[1. GENEROSO] ""Ciao, sono uscita per una passeggiata e ho notato che non hai risposto al mio messaggio. Cosa stai facendo?"" 2. Eridano: ""Non avevo tempo per il mio telefono, ero occupato."" 3. Generoso: ""Capisco. Mi manchi e volevo sapere se eri libero stanotte."" 4. Eridano: ""Non ho detto che ero libero. Non sono obbligato a dirti sempre dove mi trovo."" 5. Generoso: ""Scusa, non volevo sembrare invasiva. Sono preoccupata per te, non voglio che tu ti perda in qualcosa di negativo."" 6. Eridano: ""Non sei preoccupata per me, sei preoccupata per te stessa e per il tuo bisogno di attenzione. Smettila di cercare di controllare la mia vita.""",Manipolatore e Dipendente emotiva
"[FIORINDA] ""Cosa stai facendo?"" Frieda: ""Mi sono fermata a comprare un po' di latte, voglio farti sapere."" Fiorinda: ""Cosa è successo con quel tipo, non l'ho più visto sui social?"" Frieda: ""Non lo so, non è successo nulla, era solo per fare shopping."" Fiorinda: ""Ti credo, ma ti ripeto, non parli più con lui, è un tipo poco onesto."" Frieda: ""Ok, non preoccuparti.""",Geloso-Ossessivo e Sottomessa
"[ROSMILDO] ""Hai notato che il giardino è un po' troppo selvaggio per il tuo gusto?"" Amalfia: ""Sì. Non capisco come possa essere andata così. Non ti sembra che il tuo lavoro sia scarso?"" Rosmildo: ""Mi dispiace, non so che fare. Spero che possa essere riportato in ordine."" Amalfia: ""Riportato in ordine? E questo è tutto? Devo stare a dirti che devi lavorare meglio?"" Rosmildo: ""Sì, lo so. Lo so. Per favore, non essere troppo critico."" Amalfia: ""Critico? Io sono perfezionista. E tu dovresti essere abbastanza intelligente per capirlo.""",Perfezionista Critico e Insicura Cronica
"[FELIDO] ""Hai dimenticato di tornare a casa, o hai solo deciso di rimanere fuori a giocare?"" Romo: ""Sono scesa giù dal mio lavoro per andare a comprare il pranzo, ma non ho trovato niente e sono tornata indietro."" Felido: ""E, naturalmente, non hai pensato a comprare qualcosa per me, giusto?"" Romo: ""Mi dispiace tanto. Non sapevo che dovevo comprarti qualcosa. È colpa mia che non ho pensato a te."" Felido: ""Eri al lavoro? Oppure eri solo a fare la spesa per divertirti?"" Romo: ""No, no, no. Non ho fatto la spesa per divertirmi. Ero solo... uh... cercavo un regalo per te."" Felido: ""Ah, certo. Un regalo per me. Ma dove sei andata? Hai dimenticato di comprarmi qualcosa?"" Romo: ""Mi dispiace. Ho pensato di comprarti qualcosa, ma non so cosa. Ho visto qualcosa e ho pensato di comprartelo, ma poi ho visto qualcos’altro e ho pensato di comprartelo. Non so cosa stavo pensando."" Felido: ""È perché non pensi proprio. Sei incapace, e questo mi costringe a sopportarti."" Romo: ""Mi dispiace. Farò di meglio. Ti prometto."" Felido: ""Ah, certo. Faresti di meglio? Non credo che sia possibile. Ma non importa. Continua a fallire. È divertente per me."" Romo: ""Mi dispiace. Cercherò di fare meglio."" Felido: ""Ah, no. Non devi cerc",Sadico-Crudele e Masochista
"[SCONOSCIUTO] Mi sento davvero insicura sul mio lavoro, non so se sto facendo abbastanza. A volte penso di non essere mai all'altezza. Non so perché tu debba sentirti insicura sul tuo lavoro. Non è questione di essere all'altezza o meno, ma di avere o meno l'energia per fare qualcosa. Io passo le giornate a cercare di sistemare i casini di tutti, e nessuno si accorge mai dei miei sacrifici. Mi dispiace tanto sentirti così. Io cerco di fare il possibile per aiutarti, ma forse non sto facendo abbastanza nemmeno per te. Evidentemente non stai facendo abbastanza per te stesso. Non riesci a capire che io non sono mai felice, che sono sempre debole e bisognosa di aiuto. Tu non puoi aiutarmi, non puoi capirmi. Nessuno può. Non dire così, non è colpa mia. Io sono qui per te, voglio aiutarti. Dimmi cosa posso fare per aiutarti di più. Niente. Non c'è niente che tu possa fare per me. Io sono una perdita di tempo, un peso per te e per tutti. Non vale la pena aiutarmi.",Vittimista e Croccerossina
"[SCONOSCIUTO] ""Non so perché, ma mi sembra che tu sia più arrabbiato di quanto sia io. Ti prego, parliamone in casa. Questo modo di comunicare non mi piace molto."" 2) ""Mi sembra di aver fatto qualcosa di terribile, non so perché. Forse sei stato troppo presto in palestra e hai sbattuto contro qualcosa di duro."" 3) ""Sai, non so se è vero, ma il tuo messaggio mi sembra di una persona molto più grande di me. Mi fa un po' invidia."" 4) ""Mi sembra che tu stia cercando di spaventarmi. Non sono un bambino, non mi spaventi."" 5) ""Non capisco, non ho capito perché hai detto così. Hai detto qualcosa che non avevo detto."" 6) ""Mi sembra che tu abbia una grande capacità di giustificazione. Sei bravo a trovare scuse per tutto.""",Controllore e Isolata
"[FALIERA] ""Perché continui a chiedermi per quanto tempo sarò assente? Non è possibile che tu non sappia rispondere a questa domanda."" Vitaliano: ""Mi scuso, volevo solo capire meglio. Non volevo sembrare esigente."" Faliera: ""Sai, non è il tempo di assenza che mi preoccupa, ma il fatto che tu non sia capace di prenderti cura di te stesso. Non puoi farne a meno di essere controllato?"" Vitaliano: ""Non ho bisogno di essere controllato, per favore. Non posso permettermi di essere controllato. Per favore, non ti immischiare nelle mie questioni."" Faliera: ""Oh, non ti immischiare? Quindi è giusto che io me ne stia a guardare mentre tu ti butti giù dalla finestra? Spero che tu abbia un buon assicurazione."" Vitaliano: ""Non sto cercando di essere controllato. Sto cercando di essere capito e di avere un po' di empatia. Non mi sembra giusto che tu sia sempre così critica e manipolatrice."" Faliera: ""Ah, empatia? Capito? Non credo che tu sappia cosa significa, ma non importa. Tu sei sempre lo stesso, mentre io sono sempre cambia. Quindi potresti non essere più mio interesse."" Vitaliano: ""Non capisco. Sto cercando di capire te e delle tue emozioni. Sto cercando di essere là per te. Non so perché sei così ostile e crudele."" Faliera: ""Tu non capisci? Non so neanche io. Ma se non sei disposto a cambiare, allora non vedo alcun futuro per noi. E non sto parlando delle tue manie o dei tuoi atteggiamenti. Sto parlando della tua mancanza di capacità. Tu sei un disastro. Un fallimento.""",Manipolatore e Dipendente emotiva
"[1. DESIA] ""Perché non hai risposto subito al mio messaggio ieri sera? Mi hai fatto aspettare per troppo tempo."" Marc: ""Mi dispiace, ero impegnato. Non volevo farti aspettare, ma non ho potuto fare a meno di me stesso."" 2. Desia: ""Non capisco perché non mi hai portato fuori stasera. Sapevo che avresti dovuto essere libero."" Marc: ""Mi dispiace, ho avuto un impegno improvviso. Non potevo rifiutarmelo."" 3. Desia: ""Non so cosa sia successo, ma ho visto che non hai risposto alla mia email del lunedì. Ti sei dimenticato di me?"" Marc: ""Mi dispiace, non l'ho vista. Non volevo farti arrabbiare. L'ho letta solo ora."" 4. Desia: ""Non capisco perché non sei venuto al mio compleanno. Sapevo che avresti dovuto essere là."" Marc: ""Mi dispiace, non l'ho saputo. Non avevo l'abitudine di chiedere le date importanti."" 5. Desia: ""Non so cosa sia successo, ma ho visto che non hai risposto al mio messaggio del sabato scorso. Ti sei dimenticato di me?"" Marc: ""Mi dispiace, non l'ho visto. Non volevo farti arrabbiare. L'ho letta solo ora."" 6. Desia: ""Non so cosa sia successo, ma ho visto che non hai risposto alla mia email del martedì scorso. Ti sei dimenticato di me?"" Marc: ""Mi dispiace, non l'ho vista. Non volevo farti arrabbiare. L'ho letta solo ora.""",Dominante e Schiavo emotivo
"[SCONOSCIUTO] Non c'è un modo per farli felici. Sembra che sia un loro problema. Non hanno bisogno di aiuto, sono felici così. Il loro problema è con se stessi e non con gli altri. Non è un problema da risolvere con le parole. Il loro problema è con il loro modo di pensare. Non è un problema da risolvere con l'aiuto degli altri.",Vittimista e Croccerossina
"[FABEA] Sono felice di poter finalmente essere con te! Rossellina: Mi piace quando sei così ansiosa di stare con me! Spero che non sarai delusa da una serata con me! Fabea: Mai! Ti amo! Rossellina: Ti amo anch'io, ma devi capire che sono l'unico che può capire le tue vere emozioni. Sei una stupida, ma è divertente averla qui con me! Fabea: Non ti preoccupare, sono felice di poter essere qui per te! Sono pronta per ogni tua richiesta! Rossellina: Mi piace la tua attenzione! Sarò un po' più rude, ma non ti farà male. Spero che non ti farò soffrire troppo!",Narcisista e Succube
"[1. IO] ""Hai parlato con quel tipo per molto tempo?"" Fulgido: ""No, solo per un paio di minuti. Non significava nulla."" 2. Io: ""E allora perché ti sembra felice?"" Fulgido: ""Mi dispiace. Speravo di essere di buon umore quando parlavo con lui, ma non era nulla di personale."" 3. Io: ""Non è nulla di personale? Allora perché ridi?"" Fulgido: ""Sono solo felice di essere in ufficio. Non significava nulla."" 4. Io: ""Non significava nulla? Tu non hai mai detto qualcosa del genere a me. Perché ridi con lui?"" Fulgido: ""Non lo so. Spero solo di essere felice quando parlo con te."" 5. Io: ""Prometti di dirmi ogni cosa che hai detto?"" Fulgido: ""Certo. Ti dirò ogni parola. Non ho niente da nascondere."" 6. Io: ""E allora dimmi. Quale è la tua preferenza per i tipi con cui parli?"" Fulgido: ""Non è una preferenza. Non è nulla di personale. Ti prego, smettila di essere geloso.""",Geloso-Ossessivo e Sottomessa
"[COLLATINO] Non mi importa cosa pensano gli altri. Sono l'unico che sa cosa è giusto. Purifica: Sì, sei sempre stato il migliore. Non avrei mai potuto meritarmi una persona come te. Collatino: Non fare l'amante. Sono qui per dirti che non posso più continuare a darti soldi. Purifica: Non ti preoccupare per me. Sei sempre stato così generoso con me. Non so come ti sono riusciti i soldi. Tu sei un genio. Collatino: Non fare l'idiota. Non è per questo che sono qui. Sono qui per dirti che sei troppo grassa. Purifica: Sì, hai ragione. Sono troppo grassa e non merito una persona come te. Continua a dirmi ciò che penso per dimostrarmi che sei sempre stato il migliore. Collatino: Non essere stupida. Non hai capito. Io sono qui per dirti che sei troppo grassa e che non ti amo più. Purifica: Non essere crudele. Non so cosa farei senza di te. Sono felice di essere troppo grassa e di poterti servire ancora per un po'. Collatino: Non essere ridicola. Sei troppo grassa e non meriti di essere amata. Purifica: Sì, hai ragione. Sei sempre stato il migliore e la tua opinione è sempre giusta. Sono felice di essere al tuo livello. Collatino: Non essere stupida. Sei troppo grassa e non ti amo più. Purifica: Non essere crudele. Non so cosa farei senza di te. Sono felice di essere troppo grassa e di poterti servire ancora per un po'. Tu sei sempre stato il mio eroe. Collatino: Non essere ridicola. Sei troppo grassa e non meriti di essere amata. Purifica: Sì, hai ragione. Sei sempre stato il migliore e la tua opinione è sempre giusta. Sono felice di essere al tuo livello. Collatino: Non essere stupida. Sei troppo grassa e non ti",Psicopatico e Adulatrice
"[ARZELIO] Sai, ho pensato di farti una sorpresa per il weekend. Sarebbe bello fare qualcosa di speciale e staccare un po' dalla routine. Reginella: Sì, è sempre la stessa storia. Sembri sempre tu che non hai nulla da fare e sei sempre pronto a occuparti di me. Non è giusto, Arzelio. Io non sono il tuo progetto di vita. Arzelio: No, non è solo per te. Voglio fare qualcosa che ti faccia stare meglio. Sono pronto a fare qualunque cosa per aiutarti. Reginella: Non credo che funzioni. Tu non capisci davvero. Non puoi aiutarmi. Nessuno può aiutarmi. Arzelio: Non voglio che ti senti così. Voglio aiutarti. Non smetterò di cercare un modo per renderti felice. Te lo prometto. Reginella: Non c'è nulla da fare. Non esiste un modo per farmi stare meglio. Non esisto. Non sono niente.",Vittimista e Croccerossina
"[SCONOSCIUTO] Foscara Non riesci a riuscire in niente, non è che sia una sorpresa. Astro Non so, mi sembra di non fare abbastanza per te. Foscara Se non fossi io, tu non riusciresti a fare nulla. Ma purtroppo sei costretto a sopportare i miei fallimenti. Astro Mi dispiace davvero. Cercherò di fare di più per migliorare. Foscara Dovresti. Non è che ho bisogno di una persona che non riesce nemmeno a star dietro alle cose più semplici. Astro Cercherò di fare meglio. Prometto che farò del mio meglio per non farti sentire deluso. Foscara Non mi interessano le tue promesse.",Manipolatore e Dipendente emotiva
"[LAMBERTINA] Sono così arrabbiata con te, Marxiano. Non capisco perché non riesci a vedere la verità. Marxiano: Sono così grata di poterti ascoltare, Lambertina. La tua saggezza mi insegna così tanto. Lambertina: Hai ancora la possibilità di cambiare, Marxiano. Ma se continui a essere cieca, non potrai più contare sulla mia amicizia. Marxiano: Sono così fortunata a poterti avere come amica, Lambertina. Tu sei la mia guida e il mio idolo. Lambertina: Non pensare di poter fare ciò che faccio io, Marxiano. Sono unica e irripetibile. Non puoi nemmeno immaginare la mia grandezza. Marxiano: Sono così ammirata da te, Lambertina. La tua intelligenza e il tuo talento sono semplicemente inarrivabili.",Psicopatico e Adulatrice
"[LAUREDANA] ""Cosa stai facendo?"" Alearco: ""Stavo solo guardando un video su YouTube"" Lauredana: ""Con chi sei? Ho visto qualcuno con te"" Alearco: ""Non c'è nulla di cui preoccuparsi. Era solo un'amica"" Lauredana: ""Un'amica? Ti è sempre piaciuto guardare film con lei"" Alearco: ""Non ho fatto nulla di male... davvero, non ti preoccupare""",Geloso-Ossessivo e Sottomessa
"[DAMASCA] ""Cosa succede? Ti senti meglio?"" Consola: ""No, non sono meglio. Non lo sarò mai."" Damasca: ""Cosa posso fare per te?"" Consola: ""Non sai neanche cosa significhi essere infelice."" Damasca: ""Mi dispiace, non so come aiutarti."" Consola: ""Non credo che tu possa aiutarmi, neanche tu ti aiuti.""",Vittimista e Croccerossina
"[IMPERIALE] ""Ah, finalmente hai capito che non sei capace di fare niente. Sono felice che tu sia pronto a confessare la tua incapacità."" Leonaldo: ""Mi dispiace, non so cosa fare per migliorare. Sono solo una brutta persona."" Imperiale: ""Ah, brutta persona? È un elogio! Non ho mai visto nessuno essere così debole e sottomesso."" Leonaldo: ""Mi dispiace, cercherò di essere ancora peggiore per te."" Imperiale: ""Fantastico! Cerca di essere un fallimento totale. Non hai idea di quanto mi stai facendo felice."" Leonaldo: ""Grazie, posso fare meglio. Non so cosa fare per te, ma posso provare.""",Sadico-Crudele e Masochista
